reseñas_humanas,nombre_producto,categoria_producto,longitud,idioma,idioma_original
"Necesitaba un nuevo movil y me decidí por este reacondicionado. Al ser del propio amazon me confie aun mas. Confio mucho en sus productos y en sus servicios. El movil estaba en perfecto estado y funcionando a la perfeccion. Mi unica queja es ajeno a amazon, y es por su compañia de transporte ups.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,297,es,es
"Quisiera expresar mi profunda insatisfacción con la reciente compra de un teléfono reacondicionado a través de Amazon Renewed. Aunque inicialmente el dispositivo parecía estar en buen estado, con algunos signos superficiales de desgaste, pronto se hicieron evidentes varios problemas de funcionamiento que no correspondían con el estado ""EXCELENTE"" en el que se anunciaba.A pesar de estos inconvenientes, intenté adaptarme al funcionamiento defectuoso del teléfono durante algún tiempo. Sin embargo, con el tiempo, los problemas se hicieron más evidentes e incapacitantes. Algunas de las deficiencias más destacadas incluyen:-No funcionamiento del micrófono.-Ininteligibilidad de los audios enviados.-Imposibilidad de escuchar llamadas sin utilizar el altavoz.-Falta de capacidad para transmitir mi voz cuando se utiliza el altavoz.-Notable deterioro del rendimiento de la batería.-Mal funcionamiento crónico de la cámara.Es importante señalar que, al intentar ponerme en contacto con el vendedor para solicitar una reparación o un reembolso dentro del período de garantía de un año, no he recibido respuesta alguna. Además, me he encontrado con la situación de que la tienda ya no está disponible en Amazon, lo que dificulta aún más la resolución de mi problema.Lamentablemente, la situación se agrava al darme cuenta de que Amazon se desentiende de la situación, limitándose a remitirme a la responsabilidad del comprador al momento de realizar la compra. A pesar de que la garantía de un año de Amazon Renewed debería respaldar mi reclamo, me he encontrado en una posición de total desamparo.Esta experiencia ha sido, sin lugar a dudas, una decepción y un verdadero inconveniente. Como resultado, he perdido la confianza en este vendedor y, francamente, en la compra de productos reacondicionados a través de Amazon en general.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,1830,es,es
"Está en perfectas condiciones la batería al 100x100, sin golpes ni arañazos. Funciona perfectamente","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,99,es,es
"Me llegó ayer el iPhone en perfectas condiciones, llegó sin batería, si te fijas muy bien había como un pequeñísimo arañazo en la parte de atrás pero lo demás todo perfecto sin ninguna imperfección.Por ahora el móvil funciona muy bien, no es la primera vez que compro un iPhone reaccionando y con este estamos muy contentos. En otros iPhones que hemos comprado normalmente te venía con una funda y con un cargador, este venía sin funda.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,436,es,es
"El iPhone 12 es un auténtico logro de la ingeniería de Apple. Desde el momento en que lo sostienes en tus manos, te das cuenta de que estás ante un dispositivo de calidad excepcional. La combinación de su diseño elegante y su robusta construcción de vidrio y aluminio hace que sea un placer tenerlo.La pantalla Super Retina XDR es simplemente espectacular. Los colores son vibrantes, los negros son profundos y la claridad es asombrosa. Ya sea que estés viendo películas, jugando o navegando por la web, la experiencia visual es de primer nivel.El rendimiento es igualmente impresionante, gracias al potente chip A14 Bionic. Las aplicaciones se ejecutan sin problemas, los juegos son fluidos y la multitarea es un juego de niños. Además, la conectividad 5G ofrece velocidades de descarga ultrarrápidas para una experiencia en línea sin interrupciones.La calidad de la cámara es destacable, capturando fotos y videos de alta calidad en una variedad de condiciones de iluminación. La función Night mode añade versatilidad a la fotografía nocturna, y el video en HDR Dolby Vision es una delicia para los amantes de la cinematografía.En resumen, el iPhone 12 es una joya tecnológica que ofrece un rendimiento excepcional, una pantalla impresionante y una experiencia de usuario insuperable. Si buscas un teléfono inteligente de gama alta, el iPhone 12 es una elección que no te defraudará.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,1385,es,es
"Compré  un iPhone 12 a este vendedor y hace una semanas comenzó a funcionar mal el microfono y el altavoz del teléfono. El vendedor acepta la devolución y Amazon me asegura que se me reembolsará el importe.Procedo a la devolucion y el producto llega al vendedor pero sigo sin poder contactar con él. La Garantía de la A a la Z no me cubre, cuando se me indicó que sí lo hacía.  Mala información por parte de Amazon y mal vendedor.  Solicito el reembolso de 530€ y los gastos de devolución que tuve que pagar de 11,75€ o al menos que me arreglen el teléfono y me lo devuelvan.Me he quedado sin teléfono y sin dinero.  Espero que Amazon medie para solucionar.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,657,es,es
"Soy usuario de IPhone desde el principio. Tengo que reconocer que también es la primera vez que compro uno reacondicionado en la red. Tenía un iPhone 12 rojo y los colores no se parecen en nada a los de mi antiguo, este es más bien un tipo de rosa que nunca había visto en Francia. Además no estaba perfectamente formateado, estaba todo en italiano y bloqueado, con agenda y mensajes en italiano. Tuve que ponerme en contacto con Apple para que me ayudaran a ponerlo en marcha. La batería está casi agotada. Así que no estoy del todo satisfecho con el producto, o más exactamente con el vendedor.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,596,es,es
"Todo perfecto, en el tiempo que lo llevo usando (2 semanas) el móvil va genial, y no tiene ni una sola marca. La batería viene con una vida útil del 93%, que entra dentro de lo que avisa el vendedor. Es el tercer móvil reacondicionado que compro y los otros dos venían con vida útil del 100%, pero supongo que fue cuestión de suerte. Muy contenta de momento con el producto.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,374,es,es
"El teléfono llegó exactamente como se describía en la excelente descripción de Amazon renewed. Está en una condición fantástica con un desgaste mínimo y una pantalla casi perfecta. Mi única queja mínima es la salud de la batería. Le he quitado una estrella, ya que aunque está por encima del 80% prometido, llegó al 83%. Esto significa que es posible que necesite considerar una nueva batería antes de lo previsto.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,370,en,en
Entrega rápida 100% de capacidad de batería. ¡Muy buen iPhone! ¡Se ve como nuevo!,"        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,80,de,de
"Producto recibido puntualmente. Algunos rasguños visibles en la carcasa lateral y en el vidrio, pero nada demasiado notable (con la funda, los rasguños laterales no se ven, los del vidrio no afectan la funcionalidad). Después de 2 meses de uso, el producto funciona muy bien: la batería estaba al 85%, los colores y la funcionalidad de la pantalla en general son excelentes. Recomiendo la compra a este vendedor.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,402,it,it
"No hay diferencia, pero uno de la tienda es mi mejor compra.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,51,sv,sv
"Este es un gran teléfono, llegó impecable... como nuevo. Un rendimiento brillante y la duración de la batería es genial hasta ahora. ¡Gracias!","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,123,en,en
Me llego en 4 dias impoluto con un 88% de salud de la bateria,"        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,61,es,es
"Buenas a todos,Jamas os recomendaría comprar esta basura, me llego un movil en malas condiciones, la pantalla no funcionaba bien, la cámara no funcionaba, tenia que reiniciar para poder usar la camara para un par de fotos.Pero lo peor es cuando pides el reembolso, te engañan y te estafan diciendo que te van a devolver el 100% pero cuando llega el momento te devuelve una cantidad diferente, aparte de ser un engaño los móviles, te estafan con el dinero que te deben devolver.Claramente de esta decepcionante y mala experiencia, pienso denunciar a consumo a esta empresa, que se dedica a estafar y engañar a los clientes.","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,622,es,es
"Todo bien batería al 100% la única pega una pequeña raya en la pantalla ,ahora toca probarlo en el día a día","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,108,es,es
Producto impecable. Nadie lo ha usado antes,"        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,43,es,es
"Sin arañazos, sin ralladuras, impoluto, salud de batería 95%. Una maravilla","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,75,es,es
"Después de 3 meses de uso, el móvil da un mensaje en el q dice ""pieza desconocida ...la batería puede no ser original"" y dejó de cargar literalmente","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Los más vendidos en Amazon Renewed,148,es,es
