reseñas,IA,longitud
"Necesitaba un nuevo movil y me decidí por este reacondicionado. Al ser del propio amazon me confie aun mas. Confio mucho en sus productos y en sus servicios. El movil estaba en perfecto estado y funcionando a la perfeccion. Mi unica queja es ajeno a amazon, y es por su compañia de transporte ups.",0,297
"Está en perfectas condiciones la batería al 100x100, sin golpes ni arañazos. Funciona perfectamente",0,99
"Me llegó ayer el iPhone en perfectas condiciones, llegó sin batería, si te fijas muy bien había como un pequeñísimo arañazo en la parte de atrás pero lo demás todo perfecto sin ninguna imperfección.Por ahora el móvil funciona muy bien, no es la primera vez que compro un iPhone reaccionando y con este estamos muy contentos. En otros iPhones que hemos comprado normalmente te venía con una funda y con un cargador, este venía sin funda.",0,436
"Compré  un iPhone 12 a este vendedor y hace una semanas comenzó a funcionar mal el microfono y el altavoz del teléfono. El vendedor acepta la devolución y Amazon me asegura que se me reembolsará el importe.Procedo a la devolucion y el producto llega al vendedor pero sigo sin poder contactar con él. La Garantía de la A a la Z no me cubre, cuando se me indicó que sí lo hacía.  Mala información por parte de Amazon y mal vendedor.  Solicito el reembolso de 530€ y los gastos de devolución que tuve que pagar de 11,75€ o al menos que me arreglen el teléfono y me lo devuelvan.Me he quedado sin teléfono y sin dinero.  Espero que Amazon medie para solucionar.",0,657
"Soy usuario de IPhone desde el principio. Tengo que reconocer que también es la primera vez que compro uno reacondicionado en la red. Tenía un iPhone 12 rojo y los colores no se parecen en nada a los de mi antiguo, este es más bien un tipo de rosa que nunca había visto en Francia. Además no estaba perfectamente formateado, estaba todo en italiano y bloqueado, con agenda y mensajes en italiano. Tuve que ponerme en contacto con Apple para que me ayudaran a ponerlo en marcha. La batería está casi agotada. Así que no estoy del todo satisfecho con el producto, o más exactamente con el vendedor.",0,596
"Todo perfecto, en el tiempo que lo llevo usando (2 semanas) el móvil va genial, y no tiene ni una sola marca. La batería viene con una vida útil del 93%, que entra dentro de lo que avisa el vendedor. Es el tercer móvil reacondicionado que compro y los otros dos venían con vida útil del 100%, pero supongo que fue cuestión de suerte. Muy contenta de momento con el producto.",0,374
"El teléfono llegó exactamente como se describía en la excelente descripción de Amazon renewed. Está en una condición fantástica con un desgaste mínimo y una pantalla casi perfecta. Mi única queja mínima es la salud de la batería. Le he quitado una estrella, ya que aunque está por encima del 80% prometido, llegó al 83%. Esto significa que es posible que necesite considerar una nueva batería antes de lo previsto.",0,414
Entrega rápida 100% de capacidad de batería. ¡Muy buen iPhone! ¡Se ve como nuevo!,0,81
"Producto recibido puntualmente. Algunos rasguños visibles en la carcasa lateral y en el vidrio, pero nada demasiado notable (con la funda, los rasguños laterales no se ven, los del vidrio no afectan la funcionalidad). Después de 2 meses de uso, el producto funciona muy bien: la batería estaba al 85%, los colores y la funcionalidad de la pantalla en general son excelentes. Recomiendo la compra a este vendedor.",0,412
"No hay diferencia, pero uno de la tienda es mi mejor compra.",0,60
"Este es un gran teléfono, llegó impecable... como nuevo. Un rendimiento brillante y la duración de la batería es genial hasta ahora. ¡Gracias!",0,142
Me llego en 4 dias impoluto con un 88% de salud de la bateria,0,61
"Buenas a todos,Jamas os recomendaría comprar esta basura, me llego un movil en malas condiciones, la pantalla no funcionaba bien, la cámara no funcionaba, tenia que reiniciar para poder usar la camara para un par de fotos.Pero lo peor es cuando pides el reembolso, te engañan y te estafan diciendo que te van a devolver el 100% pero cuando llega el momento te devuelve una cantidad diferente, aparte de ser un engaño los móviles, te estafan con el dinero que te deben devolver.Claramente de esta decepcionante y mala experiencia, pienso denunciar a consumo a esta empresa, que se dedica a estafar y engañar a los clientes.",0,622
"Todo bien batería al 100% la única pega una pequeña raya en la pantalla ,ahora toca probarlo en el día a día",0,108
Producto impecable. Nadie lo ha usado antes,0,43
"Sin arañazos, sin ralladuras, impoluto, salud de batería 95%. Una maravilla",0,75
"Después de 3 meses de uso, el móvil da un mensaje en el q dice ""pieza desconocida ...la batería puede no ser original"" y dejó de cargar literalmente",0,148
