reseñas_humanas,nombre_producto,categoria_producto,longitud,idioma_original,idioma,IA,tipo
"Necesitaba un nuevo movil y me decidí por este reacondicionado. Al ser del propio amazon me confie aun mas. Confio mucho en sus productos y en sus servicios. El movil estaba en perfecto estado y funcionando a la perfeccion. Mi unica queja es ajeno a amazon, y es por su compañia de transporte ups.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,297,es,es,0,grande
"Está en perfectas condiciones la batería al 100x100, sin golpes ni arañazos. Funciona perfectamente","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,99,es,es,0,pequeña
"Me llegó ayer el iPhone en perfectas condiciones, llegó sin batería, si te fijas muy bien había como un pequeñísimo arañazo en la parte de atrás pero lo demás todo perfecto sin ninguna imperfección.Por ahora el móvil funciona muy bien, no es la primera vez que compro un iPhone reaccionando y con este estamos muy contentos. En otros iPhones que hemos comprado normalmente te venía con una funda y con un cargador, este venía sin funda.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,436,es,es,0,grande
"Compré  un iPhone 12 a este vendedor y hace una semanas comenzó a funcionar mal el microfono y el altavoz del teléfono. El vendedor acepta la devolución y Amazon me asegura que se me reembolsará el importe.Procedo a la devolucion y el producto llega al vendedor pero sigo sin poder contactar con él. La Garantía de la A a la Z no me cubre, cuando se me indicó que sí lo hacía.  Mala información por parte de Amazon y mal vendedor.  Solicito el reembolso de 530€ y los gastos de devolución que tuve que pagar de 11,75€ o al menos que me arreglen el teléfono y me lo devuelvan.Me he quedado sin teléfono y sin dinero.  Espero que Amazon medie para solucionar.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,657,es,es,0,grande
"Soy usuario de IPhone desde el principio. Tengo que reconocer que también es la primera vez que compro uno reacondicionado en la red. Tenía un iPhone 12 rojo y los colores no se parecen en nada a los de mi antiguo, este es más bien un tipo de rosa que nunca había visto en Francia. Además no estaba perfectamente formateado, estaba todo en italiano y bloqueado, con agenda y mensajes en italiano. Tuve que ponerme en contacto con Apple para que me ayudaran a ponerlo en marcha. La batería está casi agotada. Así que no estoy del todo satisfecho con el producto, o más exactamente con el vendedor.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,596,es,es,0,grande
"Todo perfecto, en el tiempo que lo llevo usando (2 semanas) el móvil va genial, y no tiene ni una sola marca. La batería viene con una vida útil del 93%, que entra dentro de lo que avisa el vendedor. Es el tercer móvil reacondicionado que compro y los otros dos venían con vida útil del 100%, pero supongo que fue cuestión de suerte. Muy contenta de momento con el producto.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,374,es,es,0,grande
"El teléfono llegó exactamente como se describía en la excelente descripción de Amazon renewed. Está en una condición fantástica con un desgaste mínimo y una pantalla casi perfecta. Mi única queja mínima es la salud de la batería. Le he quitado una estrella, ya que aunque está por encima del 80% prometido, llegó al 83%. Esto significa que es posible que necesite considerar una nueva batería antes de lo previsto.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,370,en,es,0,grande
Entrega rápida 100% de capacidad de batería. ¡Muy buen iPhone! ¡Se ve como nuevo!,"        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,80,de,es,0,pequeña
"Producto recibido puntualmente. Algunos rasguños visibles en la carcasa lateral y en el vidrio, pero nada demasiado notable (con la funda, los rasguños laterales no se ven, los del vidrio no afectan la funcionalidad). Después de 2 meses de uso, el producto funciona muy bien: la batería estaba al 85%, los colores y la funcionalidad de la pantalla en general son excelentes. Recomiendo la compra a este vendedor.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,402,it,es,0,grande
"No hay diferencia, pero uno de la tienda es mi mejor compra.","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,51,sv,es,0,pequeña
